pCode,admNameEng
11,Provinsi Aceh
12,Provinsi Sumatera Utara
13,Provinsi Sumatera Barat
15,Provinsi Jambi
16,Provinsi Sumatera Selatan
32,Provinsi Jawa Barat
33,Provinsi Jawa Tengah
34,Provinsi DI Yogyakarta
35,Provinsi Jawa Timur
51,Provinsi Bali
52,Provinsi Nusa Tenggara Barat
53,Provinsi Nusa Tenggara Timur
63,Provinsi Kalimantan Selatan
64,Provinsi Kalimantan Timur
73,Provinsi Sulawesi Selatan
72,Provinsi Sulawesi Tengah
71,Provinsi Sulawesi Utara
81,Provinsi Maluku
91,Provinsi Papua Barat
92,Provinsi Papua Barat Daya
94,Provinsi Papua
97,Provinsi Papua Pegunungan
18,Provinsi Lampung
61,Provinsi Kalimantan Barat
74,Provinsi Sulawesi Tenggara
98,Provinsi Papua Selatan
14,Provinsi Riau
17,Provinsi Bengkulu
21,Provinsi Kepulauan Riau
19,Provinsi Kepulauan Bangka Belitung
36,Provinsi Banten
62,Provinsi Kalimantan Tengah
65,Provinsi Kalimantan Utara
76,Provinsi Sulawesi Barat
75,Provinsi Gorontalo
82,Provinsi Maluku Utara
96,Provinsi Papua Tengah
